               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.14943,            0.036107,            0.052901,             0.47376,            0.019436,           0.0034507,          0.00074034,             0.14211,            0.029174,            0.062018,           0.0033232,           0.0033232,            0.070091
                   1,             0.14386,            0.041086,            0.039423,             0.61581,            0.025345,           0.0067136,           0.0013844,             0.13997,            0.029002,            0.051224,           0.0066499,           0.0066499,            0.040085
                   2,             0.14241,            0.044525,            0.032768,             0.61695,            0.020781,           0.0037643,           0.0009089,             0.13967,            0.033032,            0.095949,           0.0099701,           0.0099701,            0.010071
                   3,             0.14034,            0.048236,            0.029952,             0.43928,            0.058105,            0.021913,           0.0048942,             0.13585,            0.033557,            0.040754,           0.0099703,           0.0099703,           0.0099703
                   4,             0.13955,            0.049493,            0.026355,             0.21606,            0.085477,            0.032743,           0.0077535,             0.13484,            0.032514,            0.036137,           0.0099703,           0.0099703,           0.0099703
                   5,             0.13807,            0.050159,            0.023437,             0.30438,            0.088087,            0.040956,            0.010386,             0.13388,            0.036309,            0.036682,           0.0099604,           0.0099604,           0.0099604
                   6,             0.13784,            0.051394,            0.021853,             0.32039,             0.11244,            0.053036,            0.013022,             0.13262,            0.033765,             0.02896,           0.0099505,           0.0099505,           0.0099505
                   7,             0.13706,            0.050932,            0.020599,              0.3462,             0.12273,            0.064594,            0.016439,             0.13215,            0.033441,            0.030495,           0.0099406,           0.0099406,           0.0099406
                   8,             0.13629,            0.050552,            0.019483,             0.32748,             0.13822,            0.080455,            0.021091,             0.13113,            0.034524,            0.027951,           0.0099307,           0.0099307,           0.0099307
                   9,             0.13627,            0.050934,            0.019613,             0.40128,             0.11727,            0.078645,             0.01974,             0.13114,            0.034847,            0.029465,           0.0099208,           0.0099208,           0.0099208
                  10,             0.13583,            0.051732,            0.017939,             0.32206,             0.13423,            0.090854,            0.025875,             0.13028,            0.034247,            0.025043,           0.0099109,           0.0099109,           0.0099109
                  11,             0.13552,            0.051615,            0.017367,             0.32616,              0.1646,            0.098457,            0.027544,             0.12963,            0.034676,            0.024469,            0.009901,            0.009901,            0.009901
                  12,             0.13512,            0.052375,            0.016952,             0.35172,             0.15996,             0.10764,            0.030249,             0.12894,            0.035277,            0.023792,           0.0098911,           0.0098911,           0.0098911
                  13,             0.13476,            0.052564,            0.016713,             0.29787,              0.1009,            0.062231,            0.016329,             0.13262,            0.036101,            0.051742,           0.0098812,           0.0098812,           0.0098812
                  14,             0.13478,            0.052797,             0.01703,             0.44325,             0.15311,              0.1121,            0.032711,             0.12861,            0.036112,            0.024361,           0.0098713,           0.0098713,           0.0098713
                  15,             0.13402,            0.052551,            0.016026,              0.4074,             0.17071,             0.12559,            0.036711,             0.12827,            0.036039,             0.02554,           0.0098614,           0.0098614,           0.0098614
                  16,             0.13446,            0.052942,            0.016308,             0.39074,             0.16749,             0.13108,            0.038939,             0.12793,            0.034796,            0.021954,           0.0098515,           0.0098515,           0.0098515
                  17,             0.13408,            0.053527,            0.015109,             0.41563,             0.17741,             0.13475,            0.039829,             0.12747,            0.035212,            0.021114,           0.0098416,           0.0098416,           0.0098416
                  18,             0.13363,             0.05376,            0.014756,             0.43516,             0.17943,             0.14859,            0.045316,             0.12678,            0.035788,            0.021179,           0.0098317,           0.0098317,           0.0098317
                  19,             0.13312,            0.053495,            0.014937,             0.45119,             0.18804,             0.15503,            0.048482,             0.12664,            0.035078,             0.02006,           0.0098218,           0.0098218,           0.0098218
